date,category,units_sold,revenue
2024-05-19,Shipping,878,33192.67
2024-05-19,Technology,363,108503.67
2024-05-20,Breakroom,2382,47615.56
2024-05-20,Furniture,698,405178.41
2024-05-20,Office Supplies,3596,112809.89
2024-05-20,Shipping,1525,58487.27
2024-05-20,Technology,635,165094.89
2024-05-21,Breakroom,2185,44189.08
2024-05-21,Furniture,684,402116.62
2024-05-21,Office Supplies,3560,111132.71
2024-05-21,Shipping,1502,58146.01
2024-05-21,Technology,626,175745.72
2024-05-22,Breakroom,2234,45009.11
2024-05-22,Furniture,684,402255.53
2024-05-22,Office Supplies,3585,113243.28
2024-05-22,Shipping,1494,58974.83
2024-05-22,Technology,584,158353.13999999998
2024-05-23,Breakroom,2439,49038.4
2024-05-23,Furniture,707,408161.11
2024-05-23,Office Supplies,3354,103964.39
2024-05-23,Shipping,1424,54867.88
2024-05-23,Technology,605,153886.66999999998
2024-05-24,Breakroom,2230,45488.1
2024-05-24,Furniture,723,405051.19
2024-05-24,Office Supplies,3556,112555.47
2024-05-24,Shipping,1569,60635.03
2024-05-24,Technology,600,175490.91
2024-05-25,Breakroom,1388,28334.0
2024-05-25,Furniture,380,217765.88999999998
2024-05-25,Office Supplies,2060,66957.6
2024-05-25,Shipping,918,35287.17
2024-05-25,Technology,389,123269.91
2024-05-26,Breakroom,1304,26189.83
2024-05-26,Furniture,420,239714.46
2024-05-26,Office Supplies,2117,67185.72
2024-05-26,Shipping,950,36665.58
2024-05-26,Technology,358,109907.89
2024-05-27,Breakroom,2365,48546.23
2024-05-27,Furniture,648,372470.44
2024-05-27,Office Supplies,3486,112513.19
2024-05-27,Shipping,1604,60783.65
2024-05-27,Technology,639,170586.27
2024-05-28,Breakroom,2387,48136.51
2024-05-28,Furniture,697,407401.97000000003
2024-05-28,Office Supplies,3624,112333.22
2024-05-28,Shipping,1413,55141.68
2024-05-28,Technology,641,194530.25999999998
2024-05-29,Breakroom,2440,49815.71
2024-05-29,Furniture,682,417139.08
2024-05-29,Office Supplies,3507,112296.47
2024-05-29,Shipping,1372,54947.0
2024-05-29,Technology,651,175101.82
2024-05-30,Breakroom,2295,46300.68
2024-05-30,Furniture,672,381508.71
2024-05-30,Office Supplies,3517,111237.26
2024-05-30,Shipping,1466,55564.78
2024-05-30,Technology,691,173834.71
2024-05-31,Breakroom,2309,46282.57
2024-05-31,Furniture,681,404561.95
2024-05-31,Office Supplies,3491,112593.61
2024-05-31,Shipping,1505,60669.03
2024-05-31,Technology,663,193679.61
2024-06-01,Breakroom,1337,27095.3
2024-06-01,Furniture,384,219600.06
2024-06-01,Office Supplies,2147,66972.0
2024-06-01,Shipping,924,35057.64
2024-06-01,Technology,345,90265.54
2024-06-02,Breakroom,1412,27666.68
2024-06-02,Furniture,408,235117.34
2024-06-02,Office Supplies,2049,65615.66
2024-06-02,Shipping,911,35137.229999999996
2024-06-02,Technology,367,111960.77
2024-06-03,Breakroom,2536,51748.94
2024-06-03,Furniture,706,406895.09
2024-06-03,Office Supplies,3567,111972.44
2024-06-03,Shipping,1508,56892.16
2024-06-03,Technology,616,178991.74
2024-06-04,Breakroom,2418,48550.24
2024-06-04,Furniture,684,401078.07
2024-06-04,Office Supplies,3531,108734.01
2024-06-04,Shipping,1481,58275.06
2024-06-04,Technology,638,170697.74
2024-06-05,Breakroom,2160,44398.56
2024-06-05,Furniture,674,387509.88
2024-06-05,Office Supplies,3670,111839.96
2024-06-05,Shipping,1403,51646.22
2024-06-05,Technology,726,198369.64
2024-06-06,Breakroom,2448,48787.12
2024-06-06,Furniture,700,400537.63
2024-06-06,Office Supplies,3522,112074.12
2024-06-06,Shipping,1431,57622.33
2024-06-06,Technology,641,189937.32
2024-06-07,Breakroom,2476,49746.2
2024-06-07,Furniture,726,422867.7
2024-06-07,Office Supplies,3413,105942.79000000001
2024-06-07,Shipping,1416,56197.17
2024-06-07,Technology,606,178932.71
2024-06-08,Breakroom,1452,28783.7
2024-06-08,Furniture,394,226083.7
2024-06-08,Office Supplies,2083,66743.43000000001
2024-06-08,Shipping,880,33558.24
2024-06-08,Technology,365,102871.56
2024-06-09,Breakroom,1351,27331.27
2024-06-09,Furniture,400,224151.44
2024-06-09,Office Supplies,2143,66599.07
2024-06-09,Shipping,890,33387.71
2024-06-09,Technology,335,101906.75
2024-06-10,Breakroom,2385,46803.48
2024-06-10,Furniture,689,395392.12
2024-06-10,Office Supplies,3486,110720.3
2024-06-10,Shipping,1371,54341.34
2024-06-10,Technology,647,186102.85
2024-06-11,Breakroom,2235,45963.98
2024-06-11,Furniture,747,429607.4
2024-06-11,Office Supplies,3376,109733.97
2024-06-11,Shipping,1486,57947.37
2024-06-11,Technology,591,173982.82
2024-06-12,Breakroom,2388,48571.159999999996
2024-06-12,Furniture,669,388203.69
2024-06-12,Office Supplies,3444,108517.05
2024-06-12,Shipping,1436,57032.130000000005
2024-06-12,Technology,608,194341.91999999998
2024-06-13,Breakroom,2352,48827.5
2024-06-13,Furniture,693,401596.91000000003
2024-06-13,Office Supplies,3327,108565.74
2024-06-13,Shipping,1489,54989.33
2024-06-13,Technology,626,163948.56
2024-06-14,Breakroom,2307,47397.34
2024-06-14,Furniture,713,421043.61
2024-06-14,Office Supplies,3371,106069.66
2024-06-14,Shipping,1466,54272.44
2024-06-14,Technology,626,182833.75
2024-06-15,Breakroom,1315,26289.98
2024-06-15,Furniture,379,229395.77
2024-06-15,Office Supplies,2139,67611.88
2024-06-15,Shipping,902,36096.82
2024-06-15,Technology,367,107721.70999999999
2024-06-16,Breakroom,1413,27819.03
2024-06-16,Furniture,387,224140.18
2024-06-16,Office Supplies,1976,64394.81
2024-06-16,Shipping,790,29952.5
2024-06-16,Technology,350,96883.3
2024-06-17,Breakroom,2337,48707.93
2024-06-17,Furniture,685,393645.93
2024-06-17,Office Supplies,3516,110766.97
2024-06-17,Shipping,1481,57103.42
2024-06-17,Technology,658,192789.5
2024-06-18,Breakroom,2302,46597.54
2024-06-18,Furniture,688,380076.94
2024-06-18,Office Supplies,3465,108126.09
2024-06-18,Shipping,1457,57164.26
2024-06-18,Technology,669,178114.61
2024-06-19,Breakroom,2351,47486.9
2024-06-19,Furniture,727,418920.29
2024-06-19,Office Supplies,3654,116206.22
2024-06-19,Shipping,1573,58765.37
2024-06-19,Technology,631,181827.77
2024-06-20,Breakroom,2222,44897.37
2024-06-20,Furniture,722,414033.27
2024-06-20,Office Supplies,3492,109999.35
2024-06-20,Shipping,1419,57690.91
2024-06-20,Technology,629,185000.38
2024-06-21,Breakroom,2415,49494.47
2024-06-21,Furniture,678,388208.02
2024-06-21,Office Supplies,3434,110051.59
2024-06-21,Shipping,1436,55622.79
2024-06-21,Technology,626,188342.59
2024-06-22,Breakroom,1420,29239.83
2024-06-22,Furniture,409,233799.09
2024-06-22,Office Supplies,2089,67403.56
2024-06-22,Shipping,863,32950.99
2024-06-22,Technology,342,105419.79
2024-06-23,Breakroom,1314,26305.69
2024-06-23,Furniture,414,240092.98
2024-06-23,Office Supplies,2110,65836.48
2024-06-23,Shipping,808,31934.49
2024-06-23,Technology,364,116562.12
2024-06-24,Breakroom,2294,46862.57
2024-06-24,Furniture,682,396096.58
2024-06-24,Office Supplies,3595,113430.62
2024-06-24,Shipping,1442,57645.41
2024-06-24,Technology,632,193449.59
2024-06-25,Breakroom,2334,48122.72
2024-06-25,Furniture,667,403134.99
2024-06-25,Office Supplies,3497,110615.59
2024-06-25,Shipping,1482,55848.48
2024-06-25,Technology,625,188971.52
2024-06-26,Breakroom,2247,44681.34
2024-06-26,Furniture,717,407627.33
2024-06-26,Office Supplies,3494,109674.65
2024-06-26,Shipping,1505,57481.25
2024-06-26,Technology,653,181944.49
2024-06-27,Breakroom,2329,47706.62
2024-06-27,Furniture,689,404221.63
2024-06-27,Office Supplies,3542,110209.71
2024-06-27,Shipping,1506,57710.51
2024-06-27,Technology,625,191281.19
2024-06-28,Breakroom,2327,48376.67
2024-06-28,Furniture,726,416885.84
2024-06-28,Office Supplies,3483,108066.41
2024-06-28,Shipping,1413,55135.4
2024-06-28,Technology,712,203081.23
2024-06-29,Breakroom,1515,31442.42
2024-06-29,Furniture,416,234303.22
2024-06-29,Office Supplies,2187,68915.56
2024-06-29,Shipping,926,35835.98
2024-06-29,Technology,364,97632.61
2024-06-30,Breakroom,1355,26432.79
2024-06-30,Furniture,391,225554.18
2024-06-30,Office Supplies,2096,66971.27
2024-06-30,Shipping,889,34176.94
2024-06-30,Technology,349,109595.19
2024-07-01,Breakroom,2426,49584.29
2024-07-01,Furniture,708,414614.21
2024-07-01,Office Supplies,3420,107378.66
2024-07-01,Shipping,1455,57142.56
2024-07-01,Technology,643,189238.53
2024-07-02,Breakroom,2416,49423.96
2024-07-02,Furniture,684,390134.1
2024-07-02,Office Supplies,3609,115502.2
2024-07-02,Shipping,1506,58444.26
2024-07-02,Technology,572,169750.09
2024-07-03,Breakroom,2271,45966.29
2024-07-03,Furniture,705,407580.12
2024-07-03,Office Supplies,3412,104298.2
2024-07-03,Shipping,1528,57272.09
2024-07-03,Technology,645,177679.43
2024-07-04,Breakroom,2522,50783.96
2024-07-04,Furniture,659,394369.48
2024-07-04,Office Supplies,3398,105164.62
2024-07-04,Shipping,1463,57666.28
2024-07-04,Technology,644,199329.9
2024-07-05,Breakroom,2328,46912.72
2024-07-05,Furniture,704,399470.77999999997
2024-07-05,Office Supplies,3516,112021.73
2024-07-05,Shipping,1428,56036.51
2024-07-05,Technology,599,164483.99
2024-07-06,Breakroom,1307,26721.79
2024-07-06,Furniture,400,232827.27
2024-07-06,Office Supplies,2067,66023.6
2024-07-06,Shipping,869,32538.81
2024-07-06,Technology,358,91920.66
2024-07-07,Breakroom,1430,29424.39
2024-07-07,Furniture,402,224272.3
2024-07-07,Office Supplies,2099,64645.17
2024-07-07,Shipping,891,33260.42
2024-07-07,Technology,351,99131.68000000001
2024-07-08,Breakroom,2299,46236.33
2024-07-08,Furniture,687,402847.21
2024-07-08,Office Supplies,3434,110192.75
2024-07-08,Shipping,1336,52132.45
2024-07-08,Technology,622,193475.75
2024-07-09,Breakroom,2261,44607.27
2024-07-09,Furniture,677,392998.99
2024-07-09,Office Supplies,3417,106317.09
2024-07-09,Shipping,1422,55856.32
2024-07-09,Technology,684,195156.92
2024-07-10,Breakroom,2472,50648.17
2024-07-10,Furniture,695,405842.77
2024-07-10,Office Supplies,3483,107708.94
2024-07-10,Shipping,1551,59599.15
2024-07-10,Technology,627,185683.59
2024-07-11,Breakroom,2374,48575.79
2024-07-11,Furniture,715,424720.94
2024-07-11,Office Supplies,3396,106828.16
2024-07-11,Shipping,1500,56938.81
2024-07-11,Technology,623,167246.56
2024-07-12,Breakroom,2343,47529.63
2024-07-12,Furniture,661,394211.29
2024-07-12,Office Supplies,3616,114748.98
2024-07-12,Shipping,1512,59222.32
2024-07-12,Technology,582,168460.29
2024-07-13,Breakroom,1445,29675.89
2024-07-13,Furniture,393,224420.31
2024-07-13,Office Supplies,2066,65969.06
2024-07-13,Shipping,903,33561.89
2024-07-13,Technology,349,89285.43
2024-07-14,Breakroom,1424,29579.8
2024-07-14,Furniture,372,205648.67
2024-07-14,Office Supplies,2057,66274.11
2024-07-14,Shipping,841,31000.23
2024-07-14,Technology,349,102068.8
2024-07-15,Breakroom,2317,48006.53
2024-07-15,Furniture,687,400160.81
2024-07-15,Office Supplies,3522,108758.4
2024-07-15,Shipping,1378,53722.96
2024-07-15,Technology,618,174192.15
2024-07-16,Breakroom,2379,46874.39
2024-07-16,Furniture,660,387249.45
2024-07-16,Office Supplies,3466,107629.2
2024-07-16,Shipping,1446,56607.2
2024-07-16,Technology,652,194921.99
2024-07-17,Breakroom,2370,49695.16
2024-07-17,Furniture,671,385363.8
2024-07-17,Office Supplies,3307,105636.64
2024-07-17,Shipping,1385,53044.95
2024-07-17,Technology,620,160825.67
2024-07-18,Breakroom,2342,47812.85
2024-07-18,Furniture,667,396427.01
2024-07-18,Office Supplies,3459,110318.14
2024-07-18,Shipping,1455,56401.17
2024-07-18,Technology,618,155429.81
2024-07-19,Breakroom,2313,47143.96
2024-07-19,Furniture,680,388443.41
2024-07-19,Office Supplies,3464,109967.06
2024-07-19,Shipping,1460,57790.04
2024-07-19,Technology,601,159731.88
2024-07-20,Breakroom,1366,27157.03
2024-07-20,Furniture,371,214063.12
2024-07-20,Office Supplies,2123,66238.17
2024-07-20,Shipping,905,33515.65
2024-07-20,Technology,353,91369.31
2024-07-21,Breakroom,1430,29050.6
2024-07-21,Furniture,374,219036.68
2024-07-21,Office Supplies,2095,66060.35
2024-07-21,Shipping,871,33205.79
2024-07-21,Technology,351,94488.94
2024-07-22,Breakroom,2328,47390.39
2024-07-22,Furniture,676,397103.32
2024-07-22,Office Supplies,3605,113634.31999999999
2024-07-22,Shipping,1436,55756.67
2024-07-22,Technology,656,188861.66
2024-07-23,Breakroom,2359,48245.35
2024-07-23,Furniture,667,394919.5
2024-07-23,Office Supplies,3551,113893.99
2024-07-23,Shipping,1494,58842.409999999996
2024-07-23,Technology,653,178124.83
2024-07-24,Breakroom,2369,48480.18
2024-07-24,Furniture,714,400822.2
2024-07-24,Office Supplies,3455,109529.03
2024-07-24,Shipping,1406,53683.7
2024-07-24,Technology,624,187351.41
2024-07-25,Breakroom,2407,48716.55
2024-07-25,Furniture,722,423315.73
2024-07-25,Office Supplies,3683,114117.92
2024-07-25,Shipping,1485,55065.09
2024-07-25,Technology,654,177689.66999999998
2024-07-26,Breakroom,2282,45695.98
2024-07-26,Furniture,709,420122.09
2024-07-26,Office Supplies,3513,113146.09
2024-07-26,Shipping,1366,54525.96
2024-07-26,Technology,665,197425.53
2024-07-27,Breakroom,1433,28347.22
2024-07-27,Furniture,401,230294.87
2024-07-27,Office Supplies,2169,67818.63
2024-07-27,Shipping,914,35564.53
2024-07-27,Technology,382,96363.1
2024-07-28,Breakroom,1346,26900.19
2024-07-28,Furniture,381,214738.1
2024-07-28,Office Supplies,2081,64619.48
2024-07-28,Shipping,852,32595.86
2024-07-28,Technology,364,111976.99
2024-07-29,Breakroom,2243,45161.22
2024-07-29,Furniture,696,404672.83
2024-07-29,Office Supplies,3632,114467.2
2024-07-29,Shipping,1569,59702.82
2024-07-29,Technology,652,190859.83
2024-07-30,Breakroom,2387,47975.62
2024-07-30,Furniture,696,394283.66
2024-07-30,Office Supplies,3403,105599.6
2024-07-30,Shipping,1430,54527.27
2024-07-30,Technology,659,177845.47
2024-07-31,Breakroom,2324,47668.35
2024-07-31,Furniture,698,392820.9
2024-07-31,Office Supplies,3521,112607.86
2024-07-31,Shipping,1515,56246.68
2024-07-31,Technology,606,179588.6
2024-08-01,Breakroom,2665,54234.94
2024-08-01,Furniture,840,476811.5
2024-08-01,Office Supplies,4148,132242.08
2024-08-01,Shipping,1736,67595.79
2024-08-01,Technology,791,242995.59
2024-08-02,Breakroom,2827,56115.07
2024-08-02,Furniture,807,493160.78
2024-08-02,Office Supplies,4491,139424.42
2024-08-02,Shipping,1737,66659.42
2024-08-02,Technology,765,229919.48
2024-08-03,Breakroom,1721,33957.770000000004
2024-08-03,Furniture,463,276232.37
2024-08-03,Office Supplies,2528,80186.8
2024-08-03,Shipping,965,37974.63
2024-08-03,Technology,446,114294.66
2024-08-04,Breakroom,1721,34203.94
2024-08-04,Furniture,502,294111.28
2024-08-04,Office Supplies,2475,76120.54
2024-08-04,Shipping,1066,42345.01
2024-08-04,Technology,452,134064.42
2024-08-05,Breakroom,2763,55938.99
2024-08-05,Furniture,895,517813.4
2024-08-05,Office Supplies,4159,129538.2
2024-08-05,Shipping,1777,71975.7
2024-08-05,Technology,741,230156.82
2024-08-06,Breakroom,2794,56627.39
2024-08-06,Furniture,861,497077.89
2024-08-06,Office Supplies,4106,131695.73
2024-08-06,Shipping,1763,68171.26
2024-08-06,Technology,740,244753.16
2024-08-07,Breakroom,2867,58351.89
2024-08-07,Furniture,797,461580.4
2024-08-07,Office Supplies,4233,136928.75
2024-08-07,Shipping,1898,70258.28
2024-08-07,Technology,780,233733.13999999998
2024-08-08,Breakroom,2881,58365.65
2024-08-08,Furniture,802,474115.48
2024-08-08,Office Supplies,4437,141902.56
2024-08-08,Shipping,1711,65829.29
2024-08-08,Technology,821,219350.5
2024-08-09,Breakroom,2973,60518.42
2024-08-09,Furniture,843,480522.82
2024-08-09,Office Supplies,4073,129951.39
2024-08-09,Shipping,1795,68340.57
2024-08-09,Technology,826,239480.51
2024-08-10,Breakroom,1557,31390.72
2024-08-10,Furniture,478,263590.6
2024-08-10,Office Supplies,2482,77532.16
2024-08-10,Shipping,1074,42913.9
2024-08-10,Technology,454,144130.75
2024-08-11,Breakroom,1614,32347.22
2024-08-11,Furniture,480,272651.81
2024-08-11,Office Supplies,2405,78130.26
2024-08-11,Shipping,1063,41301.409999999996
2024-08-11,Technology,434,118904.33
2024-08-12,Breakroom,2702,55650.17
2024-08-12,Furniture,827,471899.8
2024-08-12,Office Supplies,4222,132658.44
2024-08-12,Shipping,1880,70591.38
2024-08-12,Technology,764,213761.49
2024-08-13,Breakroom,2809,59537.99
2024-08-13,Furniture,840,488112.29
2024-08-13,Office Supplies,4209,138578.76
2024-08-13,Shipping,1794,68387.9
2024-08-13,Technology,782,220614.71
2024-08-14,Breakroom,2783,57374.67
2024-08-14,Furniture,826,479045.57
2024-08-14,Office Supplies,4283,139048.43
2024-08-14,Shipping,1692,65951.46
2024-08-14,Technology,740,203357.82
2024-08-15,Breakroom,2592,53938.48
2024-08-15,Furniture,837,481249.24
2024-08-15,Office Supplies,4400,141116.28
2024-08-15,Shipping,1797,68791.35
2024-08-15,Technology,815,242825.83
2024-08-16,Breakroom,2729,54893.37
2024-08-16,Furniture,827,483907.27
2024-08-16,Office Supplies,4108,130567.6
2024-08-16,Shipping,1906,70224.68000000001
2024-08-16,Technology,815,234271.19
2024-08-17,Breakroom,1610,32877.46
2024-08-17,Furniture,516,299826.13
2024-08-17,Office Supplies,2561,83049.01
2024-08-17,Shipping,1039,39300.37
2024-08-17,Technology,433,118179.3
2024-08-18,Breakroom,1619,32159.739999999998
2024-08-18,Furniture,486,279067.6
2024-08-18,Office Supplies,2456,77161.91
2024-08-18,Shipping,1062,40686.61
2024-08-18,Technology,480,145080.61000000002
2024-08-19,Breakroom,2800,58767.66
2024-08-19,Furniture,817,476899.8
2024-08-19,Office Supplies,4247,137278.86
2024-08-19,Shipping,1684,67577.01
2024-08-19,Technology,724,233152.15
2024-08-20,Breakroom,2851,58588.56
2024-08-20,Furniture,863,512944.82
2024-08-20,Office Supplies,4397,140367.87
2024-08-20,Shipping,1733,70000.69
2024-08-20,Technology,724,200087.88
2024-08-21,Breakroom,2766,55169.05
2024-08-21,Furniture,827,486796.68
2024-08-21,Office Supplies,4295,140810.47
2024-08-21,Shipping,1782,69330.34
2024-08-21,Technology,780,222067.18
2024-08-22,Breakroom,2888,59157.85
2024-08-22,Furniture,820,482088.18
2024-08-22,Office Supplies,4353,135460.61000000002
2024-08-22,Shipping,1787,69529.02
2024-08-22,Technology,815,207581.5
2024-08-23,Breakroom,2926,59488.31
2024-08-23,Furniture,874,486289.41
2024-08-23,Office Supplies,4128,129793.93000000001
2024-08-23,Shipping,1700,66672.48
2024-08-23,Technology,765,212995.61
2024-08-24,Breakroom,1670,33264.57
2024-08-24,Furniture,480,286652.12
2024-08-24,Office Supplies,2428,76859.12
2024-08-24,Shipping,1067,42384.75
2024-08-24,Technology,451,126060.99
2024-08-25,Breakroom,1661,33526.37
2024-08-25,Furniture,495,287674.84
2024-08-25,Office Supplies,2636,84407.95
2024-08-25,Shipping,1008,38365.81
2024-08-25,Technology,480,121887.82
2024-08-26,Breakroom,2663,53381.59
2024-08-26,Furniture,834,482963.73
2024-08-26,Office Supplies,4285,132685.41
2024-08-26,Shipping,1787,69169.38
2024-08-26,Technology,766,232560.16
2024-08-27,Breakroom,2856,57619.88
2024-08-27,Furniture,848,485737.6
2024-08-27,Office Supplies,4398,140232.77
2024-08-27,Shipping,1767,70556.7
2024-08-27,Technology,808,235685.43
2024-08-28,Breakroom,2817,58727.05
2024-08-28,Furniture,848,488152.6
2024-08-28,Office Supplies,4161,130703.51
2024-08-28,Shipping,1791,68491.97
2024-08-28,Technology,773,204230.19
2024-08-29,Breakroom,2748,53750.02
2024-08-29,Furniture,802,479711.1
2024-08-29,Office Supplies,4075,131834.1
2024-08-29,Shipping,1892,71710.05
2024-08-29,Technology,820,208768.26
2024-08-30,Breakroom,2732,55955.05
2024-08-30,Furniture,834,485125.68
2024-08-30,Office Supplies,4145,131665.98
2024-08-30,Shipping,1859,69417.26
2024-08-30,Technology,751,201802.47
2024-08-31,Breakroom,1729,35055.91
2024-08-31,Furniture,504,283754.51
2024-08-31,Office Supplies,2405,76914.67
2024-08-31,Shipping,1026,39091.72
2024-08-31,Technology,430,136640.3
2024-09-01,Breakroom,1406,27688.7
2024-09-01,Furniture,412,237799.66
2024-09-01,Office Supplies,2070,65997.11
2024-09-01,Shipping,862,34368.12
2024-09-01,Technology,351,108488.75
2024-09-02,Breakroom,2350,47188.92
2024-09-02,Furniture,739,423551.53
2024-09-02,Office Supplies,3419,108546.4
2024-09-02,Shipping,1489,57426.79
2024-09-02,Technology,633,185155.39
2024-09-03,Breakroom,2289,46160.78
2024-09-03,Furniture,678,396315.86
2024-09-03,Office Supplies,3529,110595.11
2024-09-03,Shipping,1522,58505.34
2024-09-03,Technology,647,196572.24
2024-09-04,Breakroom,2310,45086.57
2024-09-04,Furniture,722,404954.04
2024-09-04,Office Supplies,3536,110879.49
2024-09-04,Shipping,1576,60512.68
2024-09-04,Technology,625,169077.09
2024-09-05,Breakroom,2378,47688.4
2024-09-05,Furniture,738,423354.76
2024-09-05,Office Supplies,3349,105423.39
2024-09-05,Shipping,1459,54720.42
2024-09-05,Technology,625,167528.63
2024-09-06,Breakroom,2321,47657.43
2024-09-06,Furniture,688,374497.73
2024-09-06,Office Supplies,3534,112648.45
2024-09-06,Shipping,1542,60128.659999999996
2024-09-06,Technology,664,186603.68
2024-09-07,Breakroom,1411,28587.36
2024-09-07,Furniture,373,208110.54
2024-09-07,Office Supplies,2094,64638.91
2024-09-07,Shipping,875,32093.7
2024-09-07,Technology,353,105310.06
2024-09-08,Breakroom,1370,27833.28
2024-09-08,Furniture,395,231438.75
2024-09-08,Office Supplies,2057,63218.77
2024-09-08,Shipping,808,32345.3
2024-09-08,Technology,365,107679.24
2024-09-09,Breakroom,2285,45618.14
2024-09-09,Furniture,736,428493.74
2024-09-09,Office Supplies,3458,105288.79000000001
2024-09-09,Shipping,1390,55668.7
2024-09-09,Technology,605,171242.37
2024-09-10,Breakroom,2403,48611.479999999996
2024-09-10,Furniture,679,396999.63
2024-09-10,Office Supplies,3419,107170.27
2024-09-10,Shipping,1470,57718.13
2024-09-10,Technology,617,171115.11
2024-09-11,Breakroom,2387,47229.06
2024-09-11,Furniture,670,379391.16
2024-09-11,Office Supplies,3486,111464.64
2024-09-11,Shipping,1471,57345.24
2024-09-11,Technology,626,188423.63999999998
2024-09-12,Breakroom,2402,47693.31
2024-09-12,Furniture,722,412375.83
2024-09-12,Office Supplies,3620,111806.16
2024-09-12,Shipping,1428,57657.58
2024-09-12,Technology,672,182927.30000000002
2024-09-13,Breakroom,2300,46818.24
2024-09-13,Furniture,720,414348.52
2024-09-13,Office Supplies,3619,116161.15
2024-09-13,Shipping,1378,54343.57
2024-09-13,Technology,676,178175.58
2024-09-14,Breakroom,1376,27522.8
2024-09-14,Furniture,381,220627.1
2024-09-14,Office Supplies,2075,66530.13
2024-09-14,Shipping,865,32629.48
2024-09-14,Technology,362,96943.2
2024-09-15,Breakroom,1430,28986.51
2024-09-15,Furniture,395,233845.27
2024-09-15,Office Supplies,2094,68388.38
2024-09-15,Shipping,874,34468.42
2024-09-15,Technology,367,94442.45
2024-09-16,Breakroom,2335,46823.71
2024-09-16,Furniture,635,370230.67
2024-09-16,Office Supplies,3580,116215.7
2024-09-16,Shipping,1528,59821.28
2024-09-16,Technology,671,182721.49
2024-09-17,Breakroom,2286,46247.54
2024-09-17,Furniture,705,410642.85
2024-09-17,Office Supplies,3560,114365.91
2024-09-17,Shipping,1366,54144.37
2024-09-17,Technology,664,174613.06
2024-09-18,Breakroom,2190,44126.94
2024-09-18,Furniture,676,391700.84
2024-09-18,Office Supplies,3612,115531.99
2024-09-18,Shipping,1337,52190.94
2024-09-18,Technology,637,199663.75999999998
2024-09-19,Breakroom,2412,48210.05
2024-09-19,Furniture,723,431213.14
2024-09-19,Office Supplies,3334,105558.82
2024-09-19,Shipping,1459,55970.520000000004
2024-09-19,Technology,688,170171.57
2024-09-20,Breakroom,2443,50282.68
2024-09-20,Furniture,710,430526.95
2024-09-20,Office Supplies,3369,107907.32
2024-09-20,Shipping,1486,56847.62
2024-09-20,Technology,639,174257.45
2024-09-21,Breakroom,1282,26653.170000000002
2024-09-21,Furniture,404,241534.53
2024-09-21,Office Supplies,2038,63140.81
2024-09-21,Shipping,864,33321.22
2024-09-21,Technology,324,104381.74
2024-09-22,Breakroom,1320,26255.58
2024-09-22,Furniture,393,228570.09
2024-09-22,Office Supplies,2041,65175.79
2024-09-22,Shipping,849,33349.05
2024-09-22,Technology,351,93382.91
2024-09-23,Breakroom,2353,48918.31
2024-09-23,Furniture,704,398396.35
2024-09-23,Office Supplies,3628,113188.82
2024-09-23,Shipping,1412,54494.37
2024-09-23,Technology,640,170783.96
2024-09-24,Breakroom,2229,44151.68
2024-09-24,Furniture,679,392083.36
2024-09-24,Office Supplies,3624,112351.92
2024-09-24,Shipping,1564,62926.58
2024-09-24,Technology,706,183768.92
2024-09-25,Breakroom,2379,50062.94
2024-09-25,Furniture,667,389381.76
2024-09-25,Office Supplies,3493,112173.77
2024-09-25,Shipping,1493,56718.36
2024-09-25,Technology,652,175658.16
2024-09-26,Breakroom,2453,50249.35
2024-09-26,Furniture,704,401269.68
2024-09-26,Office Supplies,3393,108969.85
2024-09-26,Shipping,1463,57987.03
2024-09-26,Technology,622,180970.37
2024-09-27,Breakroom,2297,45161.03
2024-09-27,Furniture,680,403564.91
2024-09-27,Office Supplies,3394,106328.99
2024-09-27,Shipping,1410,55304.5
2024-09-27,Technology,651,175916.33
2024-09-28,Breakroom,1441,29035.99
2024-09-28,Furniture,374,221051.38999999998
2024-09-28,Office Supplies,2092,66765.58
2024-09-28,Shipping,830,32329.63
2024-09-28,Technology,320,82074.33
2024-09-29,Breakroom,1324,25926.45
2024-09-29,Furniture,380,223631.44
2024-09-29,Office Supplies,2080,65076.380000000005
2024-09-29,Shipping,871,33958.83
2024-09-29,Technology,390,115521.27
2024-09-30,Breakroom,2397,48336.81
2024-09-30,Furniture,676,396835.51
2024-09-30,Office Supplies,3572,113674.73
2024-09-30,Shipping,1623,60614.54
2024-09-30,Technology,567,182771.53
2024-10-01,Breakroom,3307,65617.84
2024-10-01,Furniture,1060,603846.04
2024-10-01,Office Supplies,5072,163185.7
2024-10-01,Shipping,2082,80309.38
2024-10-01,Technology,902,234988.28
2024-10-02,Breakroom,3232,64172.17
2024-10-02,Furniture,995,584678.81
2024-10-02,Office Supplies,5134,157592.2
2024-10-02,Shipping,2038,76985.63
2024-10-02,Technology,940,265071.61
2024-10-03,Breakroom,3162,64571.47
2024-10-03,Furniture,993,561892.75
2024-10-03,Office Supplies,4911,152463.36
2024-10-03,Shipping,2023,78452.81
2024-10-03,Technology,931,238301.88
2024-10-04,Breakroom,3169,64556.07
2024-10-04,Furniture,987,577441.04
2024-10-04,Office Supplies,4996,157181.73
2024-10-04,Shipping,2082,80301.96
2024-10-04,Technology,885,229665.49
2024-10-05,Breakroom,1846,36780.56
2024-10-05,Furniture,588,336587.54
2024-10-05,Office Supplies,3010,91888.9
